Line	File	Error
15	/media/incode/d7f9afb5-6e4e-4ee6-b217-874af1bc6256/data/Train/Data/Data/Marina_kalam_books/csmNewResampled/wavs/ET201.wav	File not found
21	/media/incode/d7f9afb5-6e4e-4ee6-b217-874af1bc6256/data/Train/Data/Data/Marina_kalam_books/csmNewResampled/wavs/VF277.wav	File not found
41	/media/incode/d7f9afb5-6e4e-4ee6-b217-874af1bc6256/data/Train/Data/Data/Marina_kalam_books/csmNewResampled/wavs/VF237.wav	File not found
55	/media/incode/d7f9afb5-6e4e-4ee6-b217-874af1bc6256/data/Train/Data/Data/Marina_kalam_books/csmNewResampled/wavs/WE181.wav	File not found
63	/media/incode/d7f9afb5-6e4e-4ee6-b217-874af1bc6256/data/Train/Data/Data/Marina_kalam_books/csmNewResampled/wavs/pay13.wav	File not found
93	/media/incode/d7f9afb5-6e4e-4ee6-b217-874af1bc6256/data/Train/Data/Data/Marina_kalam_books/csmNewResampled/wavs/pay52.wav	File not found
120	/media/incode/d7f9afb5-6e4e-4ee6-b217-874af1bc6256/data/Train/Data/Data/Marina_kalam_books/csmNewResampled/wavs/OR190.wav	File not found
140	/media/incode/d7f9afb5-6e4e-4ee6-b217-874af1bc6256/data/Train/Data/Data/Marina_kalam_books/csmNewResampled/wavs/WE167.wav	File not found
143	/media/incode/d7f9afb5-6e4e-4ee6-b217-874af1bc6256/data/Train/Data/Data/Marina_kalam_books/csmNewResampled/wavs/WE072.wav	File not found
164	/media/incode/d7f9afb5-6e4e-4ee6-b217-874af1bc6256/data/Train/Data/Data/Marina_kalam_books/csmNewResampled/wavs/pay122.wav	File not found
255	/media/incode/d7f9afb5-6e4e-4ee6-b217-874af1bc6256/data/Train/Data/Data/Marina_kalam_books/csmNewResampled/wavs/VF036.wav	File not found
282	/media/incode/d7f9afb5-6e4e-4ee6-b217-874af1bc6256/data/Train/Data/Data/Marina_kalam_books/csmNewResampled/wavs/OR260.wav	File not found
350	/media/incode/d7f9afb5-6e4e-4ee6-b217-874af1bc6256/data/Train/Data/Data/Marina_kalam_books/csmNewResampled/wavs/WE145.wav	File not found
364	/media/incode/d7f9afb5-6e4e-4ee6-b217-874af1bc6256/data/Train/Data/Data/Marina_kalam_books/csmNewResampled/wavs/TBG071.wav	File not found
370	/media/incode/d7f9afb5-6e4e-4ee6-b217-874af1bc6256/data/Train/Data/Data/Marina_kalam_books/csmNewResampled/wavs/VF140.wav	File not found
384	/media/incode/d7f9afb5-6e4e-4ee6-b217-874af1bc6256/data/Train/Data/Data/Marina_kalam_books/csmNewResampled/wavs/OR264.wav	File not found
405	/media/incode/d7f9afb5-6e4e-4ee6-b217-874af1bc6256/data/Train/Data/Data/Marina_kalam_books/csmNewResampled/wavs/OR140.wav	File not found
466	/media/incode/d7f9afb5-6e4e-4ee6-b217-874af1bc6256/data/Train/Data/Data/Marina_kalam_books/csmNewResampled/wavs/OR175.wav	File not found
502	/media/incode/d7f9afb5-6e4e-4ee6-b217-874af1bc6256/data/Train/Data/Data/Marina_kalam_books/csmNewResampled/wavs/ET126.wav	File not found
508	/media/incode/d7f9afb5-6e4e-4ee6-b217-874af1bc6256/data/Train/Data/Data/Marina_kalam_books/csmNewResampled/wavs/ET132.wav	File not found
547	/media/incode/d7f9afb5-6e4e-4ee6-b217-874af1bc6256/data/Train/Data/Data/Marina_kalam_books/csmNewResampled/wavs/WE213.wav	File not found
558	/media/incode/d7f9afb5-6e4e-4ee6-b217-874af1bc6256/data/Train/Data/Data/Marina_kalam_books/csmNewResampled/wavs/OR111.wav	File not found
622	/media/incode/d7f9afb5-6e4e-4ee6-b217-874af1bc6256/data/Train/Data/Data/Marina_kalam_books/csmNewResampled/wavs/VF187.wav	File not found
666	/media/incode/d7f9afb5-6e4e-4ee6-b217-874af1bc6256/data/Train/Data/Data/Marina_kalam_books/csmNewResampled/wavs/WE020.wav	File not found
700	/media/incode/d7f9afb5-6e4e-4ee6-b217-874af1bc6256/data/Train/Data/Data/Marina_kalam_books/csmNewResampled/wavs/OR059.wav	File not found
718	/media/incode/d7f9afb5-6e4e-4ee6-b217-874af1bc6256/data/Train/Data/Data/Marina_kalam_books/csmNewResampled/wavs/ET256.wav	File not found
723	/media/incode/d7f9afb5-6e4e-4ee6-b217-874af1bc6256/data/Train/Data/Data/Marina_kalam_books/csmNewResampled/wavs/pay132.wav	File not found
747	/media/incode/d7f9afb5-6e4e-4ee6-b217-874af1bc6256/data/Train/Data/Data/Marina_kalam_books/csmNewResampled/wavs/pay83.wav	File not found
854	/media/incode/d7f9afb5-6e4e-4ee6-b217-874af1bc6256/data/Train/Data/Data/Marina_kalam_books/csmNewResampled/wavs/WE194.wav	File not found
868	/media/incode/d7f9afb5-6e4e-4ee6-b217-874af1bc6256/data/Train/Data/Data/Marina_kalam_books/csmNewResampled/wavs/WE088.wav	File not found
869	/media/incode/d7f9afb5-6e4e-4ee6-b217-874af1bc6256/data/Train/Data/Data/Marina_kalam_books/csmNewResampled/wavs/VF060.wav	File not found
875	/media/incode/d7f9afb5-6e4e-4ee6-b217-874af1bc6256/data/Train/Data/Data/Marina_kalam_books/csmNewResampled/wavs/TBG005.wav	File not found
895	/media/incode/d7f9afb5-6e4e-4ee6-b217-874af1bc6256/data/Train/Data/Data/Marina_kalam_books/csmNewResampled/wavs/WE172.wav	File not found
969	/media/incode/d7f9afb5-6e4e-4ee6-b217-874af1bc6256/data/Train/Data/Data/Marina_kalam_books/csmNewResampled/wavs/OR234.wav	File not found
1015	/media/incode/d7f9afb5-6e4e-4ee6-b217-874af1bc6256/data/Train/Data/Data/Marina_kalam_books/csmNewResampled/wavs/VF203.wav	File not found
1058	/media/incode/d7f9afb5-6e4e-4ee6-b217-874af1bc6256/data/Train/Data/Data/Marina_kalam_books/csmNewResampled/wavs/WE173.wav	File not found
1075	/media/incode/d7f9afb5-6e4e-4ee6-b217-874af1bc6256/data/Train/Data/Data/Marina_kalam_books/csmNewResampled/wavs/TBG017.wav	File not found
1152	/media/incode/d7f9afb5-6e4e-4ee6-b217-874af1bc6256/data/Train/Data/Data/Marina_kalam_books/csmNewResampled/wavs/pay84.wav	File not found
1160	/media/incode/d7f9afb5-6e4e-4ee6-b217-874af1bc6256/data/Train/Data/Data/Marina_kalam_books/csmNewResampled/wavs/ET226.wav	File not found
1208	/media/incode/d7f9afb5-6e4e-4ee6-b217-874af1bc6256/data/Train/Data/Data/Marina_kalam_books/csmNewResampled/wavs/WE061.wav	File not found
1221	/media/incode/d7f9afb5-6e4e-4ee6-b217-874af1bc6256/data/Train/Data/Data/Marina_kalam_books/csmNewResampled/wavs/WE132.wav	File not found
1253	/media/incode/d7f9afb5-6e4e-4ee6-b217-874af1bc6256/data/Train/Data/Data/Marina_kalam_books/csmNewResampled/wavs/ET206.wav	File not found
1257	/media/incode/d7f9afb5-6e4e-4ee6-b217-874af1bc6256/data/Train/Data/Data/Marina_kalam_books/csmNewResampled/wavs/VF127.wav	File not found
1331	/media/incode/d7f9afb5-6e4e-4ee6-b217-874af1bc6256/data/Train/Data/Data/Marina_kalam_books/csmNewResampled/wavs/ET021.wav	File not found
1385	/media/incode/d7f9afb5-6e4e-4ee6-b217-874af1bc6256/data/Train/Data/Data/Marina_kalam_books/csmNewResampled/wavs/VF109.wav	File not found
1491	/media/incode/d7f9afb5-6e4e-4ee6-b217-874af1bc6256/data/Train/Data/Data/Marina_kalam_books/csmNewResampled/wavs/WE051.wav	File not found
1507	/media/incode/d7f9afb5-6e4e-4ee6-b217-874af1bc6256/data/Train/Data/Data/Marina_kalam_books/csmNewResampled/wavs/TBG033.wav	File not found
